                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.2071,                   0.64,                 1.0318,                0.97178,                0.97446,                0.97327,                0.65845,                  1.142,                0.59734,                 1.0568,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.1824,                0.63459,                 1.0463,                 0.9742,                0.97138,                 0.9723,                0.70557,                0.96312,                0.55707,                 1.0202,               0.001109,               0.001109,               0.001109
                     92,                 1.1785,                0.64888,                 1.0437,                0.97588,                0.97156,                0.97376,                0.70469,                0.98351,                0.57461,                 1.0229,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.1709,                 0.6452,                 1.0399,                0.96663,                0.96827,                0.96953,                0.66713,                 1.0848,                0.59631,                 1.0469,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.1736,                0.65076,                 1.0281,                0.96899,                0.97427,                0.97398,                0.69153,                 1.0329,                0.54633,                 1.0351,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.1925,                0.65769,                 1.0377,                0.97343,                0.97413,                0.97628,                0.70978,                 1.0292,                 0.5655,                 1.0336,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.2055,                0.64432,                 1.0351,                0.97516,                0.97625,                0.97365,                0.69292,                  1.085,                0.57197,                 1.0397,              0.0010595,              0.0010595,              0.0010595
                     97,                  1.192,                0.64305,                  1.046,                0.97259,                0.97427,                0.97314,                0.69333,                 1.0348,                0.54725,                 1.0361,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.1504,                0.62157,                 1.0347,                0.97313,                0.97684,                0.97591,                0.70509,                0.96596,                 0.5389,                 1.0185,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.1737,                0.63235,                 1.0331,                0.97514,                0.97573,                0.97595,                0.68297,                 1.0074,                0.58603,                 1.0313,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.1912,                0.63985,                 1.0381,                0.97731,                0.97256,                0.97621,                0.70321,                0.98304,                0.54766,                 1.0363,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.1839,                0.63798,                 1.0495,                 0.9757,                0.97684,                0.97504,                0.69826,                0.98356,                0.55119,                 1.0337,                0.00101,                0.00101,                0.00101
                    102,                 1.1487,                0.62309,                 1.0247,                0.97268,                0.97427,                0.97421,                0.71995,                0.98622,                0.54303,                 1.0275,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.1511,                0.61802,                 1.0271,                0.96914,                 0.9717,                0.97289,                0.69077,                 1.0747,                0.59844,                 1.0374,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.1731,                 0.6209,                 1.0148,                0.97132,                0.97513,                0.97306,                0.69963,                0.99693,                0.57295,                 1.0243,              0.0009803,              0.0009803,              0.0009803
                    105,                 1.1604,                0.61939,                 1.0316,                0.97427,                0.97418,                0.97306,                0.72024,                0.95333,                0.55658,                  1.018,              0.0009704,              0.0009704,              0.0009704
                    106,                 1.1094,                0.61933,                 1.0027,                0.97469,                0.97341,                0.97158,                0.69811,                 1.0314,                0.56372,                 1.0262,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.1446,                0.62776,                 1.0302,                0.97682,                0.97587,                0.97586,                0.72348,                0.94621,                0.52513,                 1.0213,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.1342,                 0.6289,                 1.0317,                 0.9759,                0.97251,                0.97502,                 0.6996,                0.98497,                0.54735,                  1.032,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.1599,                0.62504,                 1.0315,                0.96936,                0.97684,                0.97534,                0.71161,                0.94359,                0.53678,                  1.023,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.1685,                0.63263,                 1.0331,                0.97341,                0.97343,                0.97594,                0.70439,                0.97189,                0.54649,                 1.0126,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.1757,                0.63934,                 1.0309,                0.97339,                0.97237,                0.97158,                0.71382,                 1.0227,                0.57012,                 1.0265,               0.000911,               0.000911,               0.000911
                    112,                 1.1494,                0.61747,                 1.0185,                0.97187,                0.97684,                0.97539,                0.71914,                 0.9407,                0.52496,                 1.0129,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.1455,                0.61798,                 1.0255,                0.97126,                 0.9777,                0.97461,                0.72029,                0.95692,                0.55792,                  1.012,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.1335,                 0.6249,                 1.0212,                0.97675,                0.97287,                 0.9762,                0.71011,                0.94226,                0.53808,                 1.0165,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.1362,                0.61688,                 1.0145,                0.97834,                 0.9777,                0.97722,                0.71583,                0.92706,                0.52142,                 1.0141,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.1402,                0.61188,                 1.0157,                0.97682,                 0.9759,                0.97543,                 0.7106,                0.99397,                0.52966,                 1.0087,              0.0008615,              0.0008615,              0.0008615
                    117,                 1.0959,                 0.6098,                 1.0115,                0.97515,                  0.976,                0.97575,                0.72188,                0.95886,                0.53139,                 1.0208,              0.0008516,              0.0008516,              0.0008516
                    118,                 1.1321,                 0.6102,                 1.0142,                0.97295,                0.97684,                0.97543,                0.72433,                0.94458,                0.53892,                 1.0132,              0.0008417,              0.0008417,              0.0008417
                    119,                 1.1203,                0.60597,                 1.0168,                0.97299,                0.97513,                0.97402,                0.73383,                0.90955,                 0.5094,                 1.0015,              0.0008318,              0.0008318,              0.0008318
                    120,                 1.0845,                 0.5749,                 1.0061,                0.97173,                0.97084,                0.97255,                0.72759,                0.93748,                 0.5081,                 1.0085,              0.0008219,              0.0008219,              0.0008219
                    121,                 1.1371,                 0.6117,                 1.0163,                0.97734,                0.97599,                0.97437,                0.73442,                0.93973,                 0.5406,                 1.0033,               0.000812,               0.000812,               0.000812
                    122,                 1.0907,                0.59473,                 1.0151,                0.97936,                0.97665,                0.97544,                0.74858,                0.88058,                 0.4984,                0.99923,              0.0008021,              0.0008021,              0.0008021
                    123,                 1.0848,                 0.5834,                 1.0033,                0.97619,                0.97856,                0.97591,                0.73007,                0.96794,                 0.5202,                 1.0116,              0.0007922,              0.0007922,              0.0007922
                    124,                  1.067,                0.59346,                  1.003,                 0.9769,                0.97923,                0.97581,                0.71592,                0.96624,                0.51835,                 1.0066,              0.0007823,              0.0007823,              0.0007823
                    125,                 1.1103,                 0.5878,                 1.0295,                0.97568,                0.97427,                0.97524,                0.71415,                 0.9856,                 0.5307,                 1.0121,              0.0007724,              0.0007724,              0.0007724
                    126,                 1.0756,                0.58805,                 1.0044,                0.97814,                0.97684,                0.97714,                0.71945,                0.95123,                0.52062,                  1.005,              0.0007625,              0.0007625,              0.0007625
                    127,                 1.0688,                0.57976,                 1.0054,                0.97372,                0.97599,                0.97592,                0.72593,                0.88649,                0.50986,                 1.0015,              0.0007526,              0.0007526,              0.0007526
                    128,                 1.0586,                0.57618,                0.99144,                0.96971,                0.97599,                0.97546,                0.73629,                0.91367,                0.51492,                 1.0042,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.0742,                0.58929,                 1.0013,                0.97516,                0.97657,                0.97596,                0.73992,                0.91392,                0.50263,                 1.0005,              0.0007328,              0.0007328,              0.0007328
                    130,                 1.0503,                0.56421,                0.99055,                0.97589,                0.97856,                0.97593,                0.71998,                0.98545,                0.52108,                 1.0119,              0.0007229,              0.0007229,              0.0007229
                    131,                 1.0514,                0.59876,                      1,                0.97494,                0.97856,                0.97718,                0.74722,                0.87655,                0.48744,                0.99692,               0.000713,               0.000713,               0.000713
                    132,                 1.0642,                0.58294,                0.99342,                0.97676,                0.97942,                0.97713,                0.72807,                0.91399,                0.50479,                 1.0025,              0.0007031,              0.0007031,              0.0007031
                    133,                  1.093,                 0.6005,                 1.0092,                0.97686,                0.97735,                0.97558,                 0.7557,                0.88329,                0.49894,                0.99468,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.0545,                 0.5842,                0.99139,                0.97247,                0.97684,                0.97517,                0.75235,                0.87506,                 0.4949,                0.99448,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.0494,                0.57357,                 0.9886,                0.97432,                0.97606,                0.97694,                0.73176,                0.89169,                0.50282,                0.99827,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.0378,                0.57868,                 0.9887,                0.97344,                0.97256,                0.97327,                0.71737,                0.97233,                 0.5261,                 1.0039,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.0437,                0.57366,                0.98282,                0.97604,                0.97826,                0.97708,                0.73922,                0.86675,                0.49125,                0.99343,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.0565,                0.56794,                0.99725,                0.97599,                0.97626,                0.97732,                0.73231,                 0.9069,                0.50432,                  0.998,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.0664,                0.57284,                0.98092,                0.97713,                0.97942,                0.97815,                0.74541,                0.90285,                0.50828,                0.99584,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.1152,                0.59019,                 1.0132,                0.97274,                0.97939,                0.97864,                0.73466,                0.89594,                0.49207,                0.98792,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.0752,                0.57098,                0.99193,                0.97772,                0.97835,                0.97923,                0.74566,                0.88519,                0.49241,                0.98491,               0.000614,               0.000614,               0.000614
                    142,                 1.0711,                0.58611,                0.99961,                 0.9787,                0.97513,                0.97745,                0.74299,                0.87886,                0.48593,                0.99352,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.0055,                0.55089,                0.98025,                0.97108,                0.97911,                0.97783,                0.72914,                0.94121,                0.49554,                0.99786,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0648,                0.56602,                 0.9956,                0.97297,                 0.9777,                0.97667,                0.75518,                0.86965,                0.49333,                0.99291,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.0643,                0.57643,                 1.0008,                0.97728,                0.97684,                0.97674,                0.74726,                0.89889,                0.49906,                0.99913,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.0567,                0.57616,                0.99576,                0.97964,                0.97684,                0.97861,                0.73862,                0.88576,                0.48769,                 0.9909,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.0722,                0.58751,                0.99109,                0.97903,                0.97599,                0.97802,                0.73598,                0.88215,                0.49964,                0.99693,              0.0005546,              0.0005546,              0.0005546
